t,ipc
01/01/2000,27.68
01/02/2000,30.46
01/03/2000,32.77
01/04/2000,36.11
01/05/2000,37.97
01/06/2000,39.99
01/07/2000,40.94
01/08/2000,41.49
01/09/2000,43.02
01/10/2000,44.18
01/11/2000,45.14
01/12/2000,46.25
01/01/2001,49.47
01/02/2001,50.91
01/03/2001,52.03
01/04/2001,52.92
01/05/2001,53.01
01/06/2001,53.26
01/07/2001,53.39
01/08/2001,53.62
01/09/2001,54.72
01/10/2001,55.36
01/11/2001,56.25
01/12/2001,56.62
01/01/2002,57.65
01/02/2002,58.26
01/03/2002,58.92
01/04/2002,59.8
01/05/2002,60.09
01/06/2002,60.32
01/07/2002,60.28
01/08/2002,60.54
01/09/2002,60.89
01/10/2002,61.28
01/11/2002,61.71
01/12/2002,61.92
01/01/2003,63.46
01/02/2003,63.95
01/03/2003,64.31
01/04/2003,64.93
01/05/2003,65.05
01/06/2003,64.91
01/07/2003,64.93
01/08/2003,64.97
01/09/2003,65.49
01/10/2003,65.49
01/11/2003,65.71
01/12/2003,65.68
01/01/2004,65.95
01/02/2004,66.4
01/03/2004,66.87
01/04/2004,67.3
01/05/2004,66.98
01/06/2004,66.78
01/07/2004,66.36
01/08/2004,66.38
01/09/2004,66.53
01/10/2004,66.72
01/11/2004,67
01/12/2004,66.96
01/01/2005,67.12
01/02/2005,67.3
01/03/2005,67.48
01/04/2005,68.05
01/05/2005,68.17
01/06/2005,68.21
01/07/2005,68.11
01/08/2005,68.01
01/09/2005,68.5
01/10/2005,68.74
01/11/2005,68.85
01/12/2005,69.06
01/01/2006,69.39
01/02/2006,69.88
01/03/2006,70.33
01/04/2006,70.38
01/05/2006,70.28
01/06/2006,70.12
01/07/2006,70.14
01/08/2006,70.29
01/09/2006,70.7
01/10/2006,70.94
01/11/2006,71.06
01/12/2006,71.04
01/01/2007,71.25
01/02/2007,71.3
01/03/2007,71.37
01/04/2007,71.36
01/05/2007,71.38
01/06/2007,71.66
01/07/2007,71.96
01/08/2007,72.01
01/09/2007,72.52
01/10/2007,72.62
01/11/2007,72.98
01/12/2007,73.4
01/01/2008,74.23
01/02/2008,74.94
01/03/2008,76.04
01/04/2008,77.2
01/05/2008,78.01
01/06/2008,78.6
01/07/2008,79.06
01/08/2008,79.23
01/09/2008,79.75
01/10/2008,79.77
01/11/2008,79.64
01/12/2008,79.88
01/01/2009,80.44
01/02/2009,80.82
01/03/2009,81.7
01/04/2009,82.23
01/05/2009,82.23
01/06/2009,82.17
01/07/2009,82.11
01/08/2009,81.86
01/09/2009,82.37
01/10/2009,82.57
01/11/2009,82.85
01/12/2009,83.32
01/01/2010,84.01
01/02/2010,84.3
01/03/2010,84.44
01/04/2010,84.87
01/05/2010,84.89
01/06/2010,84.88
